timestamp,policy,proto,src,dst,src_port,dst_port,path
1778549897.737591,RL,tcp,10.0.0.1,10.0.0.7,50298,5087,high_bw
1778549897.739089,RL,tcp,10.0.0.1,10.0.0.5,51852,5085,balanced
1778549897.7411702,RL,tcp,10.0.0.8,10.0.0.3,41180,5086,low_delay
1778549897.791544,RL,tcp,10.0.0.7,10.0.0.4,55450,5088,high_bw
1778549897.7960613,RL,tcp,10.0.0.3,10.0.0.8,46000,5089,high_bw
1778549897.8400242,RL,tcp,10.0.0.6,10.0.0.4,53770,5090,balanced
1778549897.8429575,RL,tcp,10.0.0.4,10.0.0.7,53228,5091,high_bw
1778549897.8640988,RL,tcp,10.0.0.1,10.0.0.7,51786,5093,balanced
1778549897.8650432,RL,tcp,10.0.0.2,10.0.0.7,44366,5097,low_delay
1778549897.8697517,RL,tcp,10.0.0.8,10.0.0.3,42484,5092,high_bw
1778549897.87264,RL,tcp,10.0.0.4,10.0.0.8,57058,5095,balanced
1778549897.8734305,RL,tcp,10.0.0.5,10.0.0.1,41816,5094,high_bw
1778549897.8739429,RL,tcp,10.0.0.7,10.0.0.4,58260,5098,low_delay
1778549897.8809454,RL,tcp,10.0.0.6,10.0.0.1,50026,5096,balanced
1778549897.883882,RL,tcp,10.0.0.2,10.0.0.8,52522,5099,high_bw
1778549897.9016945,RL,tcp,10.0.0.5,10.0.0.4,52350,5100,balanced
1778549897.9045568,RL,tcp,10.0.0.8,10.0.0.3,44598,5102,high_bw
1778549897.9200242,RL,tcp,10.0.0.2,10.0.0.8,47244,5101,low_delay
1778549897.9245136,RL,tcp,10.0.0.4,10.0.0.6,59790,5103,high_bw
1778549897.9306257,RL,tcp,10.0.0.6,10.0.0.2,59180,5104,balanced
1778549897.9323823,RL,tcp,10.0.0.2,10.0.0.6,53136,5105,high_bw
1778549897.9725187,RL,tcp,10.0.0.5,10.0.0.2,40486,5106,balanced
1778549898.0027735,RL,tcp,10.0.0.1,10.0.0.5,57920,5109,low_delay
