timestamp,num_switches,num_flows,feature_extract_ms,inference_ms,rule_install_ms,total_overhead_ms
1777838705.7234228,23,25,0.147,0.002,0.514,117.78
1777838706.7313886,23,25,0.076,0.002,0.633,113.502
1777838707.7489126,23,25,0.102,0.003,0.438,116.914
1777838708.7602143,23,25,0.072,0.002,0.589,115.016
1777838709.7672799,23,25,0.061,0.002,0.552,112.53
1777838710.7860675,23,25,0.143,0.002,0.542,113.53
1777838711.806056,23,25,0.225,0.003,0.962,125.716
1777838712.8081794,23,25,0.073,0.002,0.423,114.985
1777838713.8305793,23,25,0.177,0.003,0.433,120.437
1777838714.8281407,23,25,0.073,0.002,0.571,110.508
1777838715.848475,23,25,0.091,0.003,0.59,120.973
1777838716.85172,23,25,0.155,0.003,0.436,115.392
1777838717.8652344,23,25,0.076,0.003,0.567,114.84
1777838718.873117,23,25,0.074,0.002,0.411,112.649
1777838719.892418,23,5,0.082,0.003,0.157,113.644
1777838720.9080632,23,5,0.032,0.002,0.149,111.961
1777838721.923555,23,5,0.035,0.002,0.137,113.908
1777838722.9470525,23,5,0.032,0.002,0.242,119.186
1777838723.948819,23,5,0.036,0.002,0.149,112.406
1777838724.9550662,23,25,0.059,0.002,0.55,110.945
1777838725.9662993,23,25,0.069,0.003,0.535,112.323
1777838726.979237,23,25,0.075,0.002,0.414,114.168
1777838727.984674,23,25,0.07,0.002,0.41,110.669
1777838728.9962537,23,25,0.067,0.002,0.412,112.144
1777838730.0030782,23,25,0.08,0.003,0.423,110.646
1777838731.010696,23,25,0.066,0.002,0.385,109.794
1777838732.02813,23,25,0.075,0.002,0.623,117.832
1777838733.028207,23,25,0.064,0.002,0.435,111.002
1777838734.0394125,23,25,0.066,0.002,0.416,113.776
1777838735.0447185,23,25,0.077,0.003,0.423,111.213
1777838736.0548646,23,25,0.069,0.001,0.419,112.947
1777838737.0659854,23,25,0.068,0.002,0.415,113.055
1777838738.076113,23,25,0.08,0.003,0.442,113.998
1777838739.104527,23,25,0.096,0.003,0.421,123.026
1777838740.1077964,23,25,0.103,0.003,0.447,114.489
1777838741.1155531,23,25,0.069,0.002,0.4,113.279
1777838742.1251633,23,25,0.045,0.002,0.384,115.166
1777838743.1336582,23,25,0.075,0.002,0.432,110.528
1777838744.153192,23,25,0.08,0.002,0.593,111.324
1777838745.1733968,23,25,0.083,0.002,0.417,114.368
1777838746.1906016,23,25,0.136,0.003,0.736,114.028
1777838747.2072535,23,25,0.08,0.002,0.579,113.335
1777838748.2162986,23,25,0.081,0.003,0.565,113.503
1777838749.225212,23,25,0.072,0.002,0.693,111.042
1777838750.2350354,23,25,0.075,0.002,0.409,112.36
1777838751.2439973,23,25,0.081,0.002,0.447,112.578
1777838752.2939587,23,25,0.067,0.002,0.425,117.519
1777838753.299408,23,25,0.086,0.002,0.585,109.417
1777838754.3101914,23,25,0.065,0.003,0.43,112.493
1777838755.3212476,23,5,0.051,0.002,0.25,111.567
1777838756.3290439,23,5,0.028,0.002,0.222,110.887
1777838757.3460195,23,5,0.033,0.002,0.127,116.287
1777838758.3617687,23,5,0.027,0.001,0.123,111.676
1777838759.381789,23,25,0.046,0.002,0.396,112.468
1777838760.3978894,23,25,0.072,0.002,0.524,119.249
1777838761.4091809,23,25,0.067,0.003,0.672,112.178
1777838762.4298394,23,25,0.081,0.003,0.444,117.373
1777838763.4308915,23,25,0.063,0.002,0.407,108.227
1777838764.449228,23,25,0.065,0.002,0.414,111.928
1777838765.47915,23,25,0.054,0.002,0.39,130.547
1777838766.471925,23,25,0.224,0.003,0.794,109.804
1777838767.482346,23,25,0.07,0.002,0.523,111.049
1777838768.5066803,23,25,0.072,0.002,0.417,118.933
1777838769.5106492,23,5,0.049,0.002,0.122,111.409
1777838770.540185,23,5,0.096,0.002,0.259,129.661
1777838771.5333128,23,5,0.036,0.002,0.21,110.744
1777838772.5568132,23,5,0.053,0.003,0.172,116.267
1777838773.5638027,23,5,0.028,0.002,0.125,112.334
1777838774.5862541,23,25,0.051,0.002,0.633,117.808
1777838775.5963693,23,25,0.085,0.002,0.622,112.769
1777838776.6128974,23,25,0.067,0.002,0.429,112.622
1777838777.6208375,23,25,0.226,0.003,0.541,111.454
1777838778.6375625,23,25,0.07,0.002,0.403,113.461
1777838779.6572793,23,25,0.077,0.002,0.567,118.028
1777838780.6652896,23,25,0.08,0.002,0.57,113.58
1777838781.673158,23,25,0.19,0.002,0.66,111.656
1777838782.689676,23,25,0.059,0.001,0.509,116.079
1777838783.6951725,23,25,0.062,0.002,0.661,112.21
1777838784.721174,23,5,0.037,0.002,0.138,127.344
1777838785.717181,23,5,0.026,0.002,0.124,111.436
1777838786.7352116,23,5,0.052,0.003,0.2,119.69
1777838787.7443976,23,5,0.031,0.001,0.227,113.403
1777838788.7520964,23,5,0.038,0.014,0.206,109.338
1777838789.7635639,23,25,0.159,0.002,0.469,111.277
1777838790.780075,23,25,0.067,0.002,0.626,116.135
1777838791.7857735,23,25,0.072,0.002,0.404,112.568
1777838792.8030875,23,25,0.059,0.002,0.516,111.476
1777838793.815857,23,25,0.064,0.002,0.411,113.212
1777838794.8348558,23,25,0.075,0.002,0.562,115.321
1777838795.8446267,23,25,0.168,0.002,0.514,113.675
1777838796.8584886,23,25,0.068,0.003,0.401,111.896
1777838797.8684022,23,25,0.142,0.002,0.702,111.685
1777838798.884455,23,25,0.078,0.002,0.533,116.979
1777838799.8888624,23,5,0.062,0.002,0.142,111.076
1777838800.8992195,23,5,0.042,0.003,0.31,109.465
1777838801.915254,23,5,0.038,0.002,0.148,112.54
1777838802.9323368,23,5,0.031,0.002,0.237,116.299
1777838803.9388168,23,5,0.03,0.002,0.131,108.492
1777838804.9497411,23,25,0.046,0.002,0.514,111.278
1777838805.965817,23,25,0.076,0.002,0.507,115.111
1777838806.9781926,23,25,0.074,0.002,0.53,113.108
1777838807.9888983,23,25,0.07,0.002,0.508,116.394
1777838808.9954653,23,25,0.151,0.003,0.418,112.377
1777838810.004249,23,25,0.075,0.002,0.406,109.434
1777838811.0181098,23,25,0.061,0.002,0.534,111.635
1777838812.027148,23,25,0.062,0.002,0.602,110.973
1777838813.0457566,23,25,0.083,0.002,0.419,116.924
1777838814.058825,23,25,0.065,0.002,0.61,111.301
1777838815.068199,23,25,0.102,0.003,0.763,110.771
1777838816.0796492,23,25,0.063,0.002,0.428,110.586
1777838817.0867958,23,25,0.08,0.003,0.408,109.698
1777838818.0958405,23,25,0.063,0.002,0.415,111.311
1777838819.1156483,23,25,0.072,0.002,0.397,115.005
1777838820.1243958,23,25,0.139,0.005,0.49,109.773
1777838821.1382885,23,25,0.08,0.002,0.546,113.023
1777838822.1522918,23,25,0.077,0.002,0.402,110.913
1777838823.1685438,23,25,0.252,0.004,0.928,114.845
1777838824.181825,23,25,0.092,0.003,0.436,115.0
1777838825.194059,23,5,0.052,0.002,0.126,113.498
1777838826.2106562,23,5,0.032,0.002,0.128,116.915
1777838827.2218401,23,5,0.03,0.001,0.127,111.943
1777838828.229891,23,5,0.03,0.002,0.308,110.734
1777838829.2498739,23,5,0.031,0.002,0.129,112.492
1777838830.2615795,23,25,0.043,0.001,0.391,112.969
1777838831.2801757,23,25,0.068,0.002,0.57,112.565
1777838832.2906268,23,25,0.17,0.003,0.566,109.215
1777838833.3064444,23,25,0.081,0.002,0.546,116.283
1777838834.337231,23,25,0.062,0.002,0.39,113.953
1777838835.353186,23,25,0.167,0.002,0.424,116.565
1777838836.3601108,23,25,0.118,0.003,0.45,112.545
1777838837.3665442,23,25,0.075,0.002,0.755,110.825
1777838838.3865366,23,25,0.159,0.002,0.458,113.114
1777838839.40242,23,25,0.069,0.002,0.518,116.534
1777838840.4098456,23,25,0.073,0.002,0.412,112.469
1777838841.4198525,23,25,0.111,0.002,0.621,113.008
1777838842.429697,23,25,0.098,0.002,0.548,113.099
1777838843.4387848,23,25,0.059,0.002,0.432,111.308
1777838844.4583287,23,25,0.066,0.002,0.605,119.106
1777838845.464267,23,25,0.068,0.002,0.426,112.248
1777838846.470748,23,25,0.064,0.002,0.434,110.324
1777838847.4835243,23,25,0.16,0.002,0.41,111.525
1777838848.5030038,23,25,0.071,0.002,0.645,115.432
1777838849.5178442,23,25,0.073,0.002,0.421,119.582
1777838850.5157552,23,25,0.069,0.002,0.41,107.893
1777838851.5279093,23,25,0.063,0.002,0.404,108.382
1777838852.5513194,23,25,0.077,0.002,0.551,117.688
1777838853.5529654,23,25,0.136,0.003,0.419,111.318
1777838854.5670786,23,25,0.063,0.002,0.377,111.156
1777838855.578409,23,25,0.072,0.002,0.555,112.597
1777838856.5841951,23,25,0.083,0.002,0.711,110.662
1777838857.5945833,23,25,0.08,0.002,0.437,111.921
1777838858.6098883,23,25,0.087,0.002,0.434,114.229
1777838859.6329565,23,25,0.069,0.002,0.418,115.003
1777838860.6402125,23,25,0.124,0.003,0.574,110.804
1777838861.6506479,23,25,0.084,0.002,0.457,110.958
1777838862.6637938,23,25,0.059,0.002,0.416,113.759
1777838863.6736283,23,25,0.059,0.001,0.418,113.824
1777838864.6776633,23,25,0.063,0.002,0.431,107.565
1777838865.6919813,23,25,0.058,0.001,0.391,111.634
1777838866.7010036,23,25,0.076,0.002,0.418,113.114
1777838867.713046,23,25,0.072,0.002,0.412,112.577
1777838868.7244866,23,25,0.062,0.002,0.514,113.284
1777838869.7430003,23,5,0.062,0.002,0.134,119.875
1777838870.7501624,23,5,0.031,0.002,0.124,117.321
1777838871.7538075,23,5,0.032,0.01,0.148,107.37
1777838872.7803695,23,5,0.03,0.002,0.123,119.031
1777838873.7887843,23,5,0.078,0.004,0.493,110.914
1777838874.8003,23,25,0.053,0.002,0.525,112.811
1777838875.8072743,23,25,0.289,0.002,0.656,112.551
1777838876.8278174,23,25,0.064,0.002,0.419,115.682
1777838877.838536,23,25,0.073,0.002,0.413,112.761
1777838878.8535352,23,25,0.068,0.002,0.569,112.071
1777838879.8647141,23,25,0.073,0.002,0.417,112.914
1777838880.8709347,23,25,0.065,0.002,0.626,111.166
1777838881.8806162,23,25,0.503,0.002,0.424,111.273
1777838882.8972752,23,25,0.067,0.002,0.403,115.477
1777838883.9220972,23,25,0.058,0.002,0.507,130.196
1777838884.9162474,23,25,0.077,0.002,0.402,112.957
1777838885.9242911,23,25,0.074,0.002,0.623,111.847
1777838886.931174,23,25,0.071,0.002,0.538,109.939
1777838887.938863,23,25,0.063,0.002,0.515,110.21
1777838888.951182,23,25,0.068,0.002,0.525,112.691
1777838889.9617121,23,25,0.064,0.002,0.391,111.101
1777838890.9748287,23,25,0.071,0.003,0.41,113.05
1777838891.9791484,23,25,0.06,0.002,0.515,108.595
1777838892.9895132,23,25,0.057,0.002,0.441,109.886
1777838894.0048406,23,25,0.17,0.002,0.408,114.172
1777838895.012452,23,5,0.064,0.002,0.134,112.703
1777838896.0261464,23,5,0.033,0.001,0.127,111.899
1777838897.0426323,23,5,0.037,0.002,0.139,114.423
1777838898.052099,23,5,0.038,0.002,0.268,111.609
1777838899.0660028,23,5,0.044,0.002,0.219,116.807
1777838900.0677447,23,25,0.051,0.002,0.635,109.154
1777838901.080133,23,25,0.061,0.002,0.393,114.289
1777838902.084368,23,25,0.071,0.002,0.433,109.033
1777838903.0952404,23,25,0.07,0.003,0.407,108.4
